"{""ObjectName"":""Tab"",""Version"":""1.0"",""TimeZone"":""GMT"",""Pattern"":""""}"
id,name,label,logo,type,properties,objectId,description,pageId,webURL,bpId,layoutId,websiteId,reportId,showRegion,openWay,showDeviceType,createdBy,createdDate,lastModifiedBy,lastModifiedDate,systemModifiedDate,deletedDate,isDeleted,owner,installedPackage,custom,protectMode,visibility,belongTo
string,string,string,string,string,clob,string,string,string,string,string,string,string,string,numeric,numeric,string,string,date,string,date,date,date,bool,string,string,bool,numeric,numeric,string
001g0000015C8EtIk5ZY,NPNM__equipment_fix_management_manageWorkOrderList,工单管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__manageWorkOrder,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:40:21,10gd00000150QfGpNugy,2023-07-25 02:40:21,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C8F3Q3b28,NPNM__equipment_fix_management_manageWorkOrderList,工单管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__manageWorkOrder,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:40:23,10gd00000150QfGpNugy,2023-07-25 02:40:23,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C8F7xdg48,NPNM__equipment_fix_management_manageWorkOrderList,工单管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__manageWorkOrder,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:40:24,10gd00000150QfGpNugy,2023-07-25 02:40:24,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C8F999mkq,NPNM__equipment_fix_management_manageWorkOrderList,工单管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__manageWorkOrder,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:40:25,10gd00000150QfGpNugy,2023-07-25 02:40:25,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C8F9KnL5U,NPNM__equipment_fix_management_manageWorkOrderList,工单管理,menuicon icon-memo,ViewTab,NULL,NULL,NULL,NULL,NPNM__manageWorkOrder,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:40:25,10gd00000150QfGpNugy,2023-07-27 08:18:42,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C8Ikp4Haq,NPNM__equipment_fix_management_dispatchWorkOrder,工单列表（派单员）,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__dispatchWorkOrder,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:41:13,10gd00000150QfGpNugy,2023-07-25 02:41:13,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
001g0000015C8IsdbYcy,NPNM__equipment_fix_management_dispatchWorkOrder,工单列表（派单员）,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__dispatchWorkOrder,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:41:15,10gd00000150QfGpNugy,2023-07-25 02:41:15,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C8Ivcg1R2,NPNM__equipment_fix_management_dispatchWorkOrder,工单列表（派单员）,menuicon icon-deliver,ViewTab,NULL,NULL,NULL,NULL,NPNM__dispatchWorkOrder,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:41:16,10gd00000150QfGpNugy,2023-07-26 03:12:14,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C8MEzB1yy,NPNM__equipment_fix_management_workOrderListM,工单列表（维修人员）,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__workOrderListM,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:42:01,10gd00000150QfGpNugy,2023-07-25 02:42:01,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
001g0000015C8MIQLmfQ,NPNM__equipment_fix_management_workOrderListM,工单列表（维修人员）,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__workOrderListM,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:42:01,10gd00000150QfGpNugy,2023-07-25 02:42:01,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
